species,site,count,latin,纲,目,Order,科,Family,属
黑星紫胸鱼,永暑礁北沙洲,12,Stethojulis bandanensis,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,紫胸鱼属
黑缘雀鲷,美济礁,3,Pomacentrus nigromarginatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
黑缘雀鲷,南扉暗沙,1,Pomacentrus nigromarginatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
黑缘雀鲷,永暑礁北沙洲,170,Pomacentrus nigromarginatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
黑缘丝隆头鱼,漫步暗沙,582,Cirrhilabrus melanomarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
黑缘丝隆头鱼,美济礁,3,Cirrhilabrus melanomarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
黑缘丝隆头鱼,南扉暗沙,719,Cirrhilabrus melanomarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
黑缘丝隆头鱼,七连屿,35,Cirrhilabrus melanomarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
黑缘丝隆头鱼,永乐环礁,35,Cirrhilabrus melanomarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
黑缘丝隆头鱼,永暑礁北沙洲,22,Cirrhilabrus melanomarginatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
黑缘尾九棘鲈,美济礁,2,Cephalopholis spiloparaea,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,九棘鲈属
横带扁背鲀,七连屿,4,Canthigaster valentini,辐鳍鱼纲,鲀形目,Tetraodontiformes,鲀科,Tetraodontidae,扁背鲀属
横带扁背鲀,永乐环礁,1,Canthigaster valentini,辐鳍鱼纲,鲀形目,Tetraodontiformes,鲀科,Tetraodontidae,扁背鲀属
横带扁背鲀,美济礁,1,Canthigaster valentini,辐鳍鱼纲,鲀形目,Tetraodontiformes,鲀科,Tetraodontidae,扁背鲀属
横带唇鱼,美济礁,30,Cheilinus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
横带唇鱼,七连屿,3,Cheilinus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
横带唇鱼,永暑礁北沙洲,1,Cheilinus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
横带刺尾鱼,美济礁,1,Acanthurus triostegus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
横带刺尾鱼,永暑礁北沙洲,942,Acanthurus triostegus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
横带厚唇鱼,漫步暗沙,1,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
横带厚唇鱼,美济礁,4,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
横带高鳍刺尾鱼,漫步暗沙,1,Zebrasoma veliferum,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,高鳍刺尾鱼属
横带高鳍刺尾鱼,美济礁,27,Zebrasoma veliferum,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,高鳍刺尾鱼属
横带高鳍刺尾鱼,七连屿,2,Zebrasoma veliferum,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,高鳍刺尾鱼属
横带高鳍刺尾鱼,永乐环礁,3,Zebrasoma veliferum,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,高鳍刺尾鱼属
横带高鳍刺尾鱼,永暑礁北沙洲,7,Zebrasoma veliferum,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,高鳍刺尾鱼属
横带厚唇鱼,漫步暗沙,13,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
横带厚唇鱼,美济礁,2,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
横带厚唇鱼,南扉暗沙,3,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
横带厚唇鱼,七连屿,3,Hemigymnus fasciatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,厚唇鱼属
