species,site,count,latin,纲,目,Order,科,Family,属
克氏双锯鱼,美济礁,7,Amphiprion clarkii,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
克氏双锯鱼,永乐环礁,2,Amphiprion clarkii,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
克氏双锯鱼,永暑礁北沙洲,22,Amphiprion clarkii,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,双锯鱼属
克氏新箭齿雀鲷,美济礁,2,Neoglyphidodon crossi,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,新箭齿雀鲷属
克氏新箭齿雀鲷,永暑礁北沙洲,28,Neoglyphidodon crossi,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,新箭齿雀鲷属
孔雀雀鲷,美济礁,21,Pomacentrus pavo,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
孔雀雀鲷,七连屿,3,Pomacentrus pavo,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
库拉索凹牙豆娘鱼,美济礁,68,Amblyglyphidodon curacao,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,凹牙豆娘鱼属
蜡黄前孔鲀,美济礁,1,Cantherhines cerinus,辐鳍鱼纲,鲀形目,Tetraodontiformes,单角鲀科,Monacanthidae,前孔鲀属
蓝短鳍笛鲷,漫步暗沙,13,Aprion virescens,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,短鳍笛鲷属
蓝黄梅鲷,美济礁,65,Caesio teres,辐鳍鱼纲,鲈形目,Perciformes,梅鲷科,Caesionidae,梅鲷属
蓝绿光鳃鱼,美济礁,858,Chromis viridis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
蓝身丝隆头鱼,美济礁,1,Cirrhilabrus cyanopleura,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
蓝身丝隆头鱼,南扉暗沙,5,Cirrhilabrus cyanopleura,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
蓝身丝隆头鱼,永暑礁北沙洲,52,Cirrhilabrus cyanopleura,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,丝隆头鱼属
榄斑眶棘鲈,永暑礁北沙洲,4,Scolopsis xenochrous,辐鳍鱼纲,鲈形目,Perciformes,金线鱼科,Nemipteridae,眶棘鲈属
镰鱼,漫步暗沙,18,Zanclus cornutus,辐鳍鱼纲,鲈形目,Perciformes,镰鱼科,Zanclidae,镰鱼属
镰鱼,美济礁,281,Zanclus cornutus,辐鳍鱼纲,鲈形目,Perciformes,镰鱼科,Zanclidae,镰鱼属
镰鱼,南扉暗沙,14,Zanclus cornutus,辐鳍鱼纲,鲈形目,Perciformes,镰鱼科,Zanclidae,镰鱼属
镰鱼,七连屿,34,Zanclus cornutus,辐鳍鱼纲,鲈形目,Perciformes,镰鱼科,Zanclidae,镰鱼属
镰鱼,永乐环礁,62,Zanclus cornutus,辐鳍鱼纲,鲈形目,Perciformes,镰鱼科,Zanclidae,镰鱼属
镰鱼,永暑礁北沙洲,66,Zanclus cornutus,辐鳍鱼纲,鲈形目,Perciformes,镰鱼科,Zanclidae,镰鱼属
裂唇鱼,漫步暗沙,8,Labroides dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
裂唇鱼,美济礁,299,Labroides dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
裂唇鱼,南扉暗沙,13,Labroides dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
裂唇鱼,七连屿,86,Labroides dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
裂唇鱼,永乐环礁,3,Labroides dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
裂唇鱼,永暑礁北沙洲,233,Labroides dimidiatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
六斑九棘鲈,七连屿,1,Cephalopholis sexmaculata,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,九棘鲈属
六带拟唇鱼,漫步暗沙,6,Pseudocheilinus hexataenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
六带拟唇鱼,美济礁,47,Pseudocheilinus hexataenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
六带拟唇鱼,南扉暗沙,4,Pseudocheilinus hexataenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
六带拟唇鱼,七连屿,17,Pseudocheilinus hexataenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
六带拟唇鱼,永乐环礁,1,Pseudocheilinus hexataenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
六带拟唇鱼,永暑礁北沙洲,8,Pseudocheilinus hexataenia,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟唇鱼属
六棘鼻鱼,南扉暗沙,5,Naso hexacanthus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
六棘鼻鱼,永暑礁北沙洲,4,Naso hexacanthus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,鼻鱼属
六角石斑鱼,永暑礁北沙洲,4,Epinephelus hexagonatus,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,石斑鱼属
六睛拟鲈,美济礁,1,Parapercis hexophtalma,辐鳍鱼纲,鲈形目,Perciformes,拟鲈科,Pinguipedidae,拟鲈属
六睛拟鲈,七连屿,3,Parapercis hexophtalma,辐鳍鱼纲,鲈形目,Perciformes,拟鲈科,Pinguipedidae,拟鲈属
六睛拟鲈,永暑礁北沙洲,1,Parapercis hexophtalma,辐鳍鱼纲,鲈形目,Perciformes,拟鲈科,Pinguipedidae,拟鲈属
隆背笛鲷,美济礁,541,Lutjanus gibbus,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
隆背笛鲷,永暑礁北沙洲,27,Lutjanus gibbus,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
露珠盔鱼,七连屿,4,Coris gaimard,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,盔鱼属
露珠盔鱼,永暑礁北沙洲,10,Coris gaimard,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,盔鱼属
卵形光鳃鱼,美济礁,277,Chromis ovatiformis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
卵形光鳃鱼,永暑礁北沙洲,27,Chromis ovatiformis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
裸狐鲣,美济礁,2,Gymnosarda unicolor,辐鳍鱼纲,鲈形目,Perciformes,鲭科,Scombridae,鮀鲣属
绿唇鹦嘴鱼,漫步暗沙,43,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿唇鹦嘴鱼,美济礁,113,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿唇鹦嘴鱼,南扉暗沙,76,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿唇鹦嘴鱼,七连屿,42,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿唇鹦嘴鱼,永乐环礁,34,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿唇鹦嘴鱼,永暑礁北沙洲,359,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿唇鹦嘴鱼,美济礁,1,Scarus forsteni,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
绿光鳃鱼,美济礁,1,Chromis atripectoralis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
马夫鱼,美济礁,6,Heniochus acuminatus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,马夫鱼属
马夫鱼,永暑礁北沙洲,6,Heniochus acuminatus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,马夫鱼属
密点蝴蝶鱼,美济礁,1,Chaetodon citrinellus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
密点蝴蝶鱼,永暑礁北沙洲,2,Chaetodon citrinellus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
密鳃雀鲷,美济礁,1,Hemiglyphidodon plagiometopon,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,密鳃鱼属
密鳃雀鲷,永暑礁北沙洲,217,Hemiglyphidodon plagiometopon,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,密鳃鱼属
摩鹿加拟凿牙鱼,七连屿,1,Pseudodax moluccanus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,拟凿牙鱼属
摩鹿加雀鲷,美济礁,4,Pomacentrus moluccensis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,金翅雀鲷属
霓虹雀鲷,漫步暗沙,508,Pomacentrus coelestis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
霓虹雀鲷,美济礁,26,Pomacentrus coelestis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
霓虹雀鲷,南扉暗沙,192,Pomacentrus coelestis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
霓虹雀鲷,七连屿,73,Pomacentrus coelestis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
霓虹雀鲷,永暑礁北沙洲,19,Pomacentrus coelestis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
拟绿鹦嘴鱼,漫步暗沙,1,Chlorurus capistratoides,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,绿鹦嘴鱼属
拟绿鹦嘴鱼,美济礁,18,Chlorurus capistratoides,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,绿鹦嘴鱼属
拟绿鹦嘴鱼,永乐环礁,15,Chlorurus capistratoides,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,绿鹦嘴鱼属
拟绿鹦嘴鱼,永暑礁北沙洲,21,Chlorurus capistratoides,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,绿鹦嘴鱼属
漂游珊瑚虾虎鱼,美济礁,1,Bryaninops natans,辐鳍鱼纲,鲈形目,Perciformes,虾虎鱼科,Gobiidae,珊瑚虾虎鱼属
青斑阿南鱼,南扉暗沙,3,Anampses caeruleopunctatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,阿南鱼属
青斑阿南鱼,永暑礁北沙洲,1,Anampses caeruleopunctatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,阿南鱼属
青唇栉齿刺尾鱼,七连屿,5,Ctenochaetus cyanocheilus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,栉齿刺尾鱼属
青唇栉齿刺尾鱼,永暑礁北沙洲,9,Ctenochaetus cyanocheilus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,栉齿刺尾鱼属
青鲸鹦嘴鱼,美济礁,1,Cetoscarus bicolor,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鲸鹦嘴鱼属
犬牙锥齿鲷,美济礁,2,Pentapodus caninus,辐鳍鱼纲,鲈形目,Perciformes,金线鱼科,Nemipteridae,锥齿鲷属
日本刺尾鱼,美济礁,1158,Acanthurus japonicus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
日本刺尾鱼,七连屿,72,Acanthurus japonicus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
日本刺尾鱼,永乐环礁,249,Acanthurus japonicus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
日本刺尾鱼,永暑礁北沙洲,731,Acanthurus japonicus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,刺尾鱼属
鳃斑盔鱼,永暑礁北沙洲,1,Coris aygula,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,盔鱼属
三斑海猪鱼,美济礁,4,Halichoeres trimaculatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
三斑海猪鱼,永暑礁北沙洲,15,Halichoeres trimaculatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
三斑宅泥鱼,美济礁,33,Dascyllus trimaculatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,宅泥鱼属
三斑宅泥鱼,七连屿,139,Dascyllus trimaculatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,宅泥鱼属
三斑宅泥鱼,永乐环礁,100,Dascyllus trimaculatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,宅泥鱼属
三斑宅泥鱼,永暑礁北沙洲,18,Dascyllus trimaculatus,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,宅泥鱼属
三带蝴蝶鱼,美济礁,2,Chaetodon trifasciatus,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
三带眶棘鲈,美济礁,1,Scolopsis trilineata,辐鳍鱼纲,鲈形目,Perciformes,金线鱼科,Nemipteridae,眶棘鲈属
三色鹦嘴鱼,永暑礁北沙洲,2,Scarus tricolor,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
三纹蝴蝶鱼,漫步暗沙,11,Chaetodon trifascialis,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
三纹蝴蝶鱼,七连屿,2,Chaetodon trifascialis,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
三纹蝴蝶鱼,永暑礁北沙洲,6,Chaetodon trifascialis,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
三叶唇鱼,七连屿,2,Cheilinus trilobatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
三叶唇鱼,永乐环礁,1,Cheilinus trilobatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
三叶唇鱼,永暑礁北沙洲,7,Cheilinus trilobatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,唇鱼属
莎姆新东洋鳂,美济礁,14,Neoniphon sammara,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,新东洋鳂属
莎姆新东洋鳂,七连屿,1,Neoniphon sammara,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,新东洋鳂属
莎姆新东洋鳂,永乐环礁,1,Neoniphon sammara,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,新东洋鳂属
莎姆新东洋鳂,永暑礁北沙洲,12,Neoniphon sammara,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,新东洋鳂属
射狗母鱼,永暑礁北沙洲,1,Synodus jaculum,辐鳍鱼纲,仙鱼目,Aulopiformes,狗母鱼科,Synodontidae,狗母鱼属
伸口鱼,美济礁,54,Epibulus insidiator,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,伸口鱼属
伸口鱼,七连屿,3,Epibulus insidiator,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,伸口鱼属
伸口鱼,永乐环礁,14,Epibulus insidiator,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,伸口鱼属
伸口鱼,永暑礁北沙洲,58,Epibulus insidiator,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,伸口鱼属
似花普提鱼,美济礁,7,Bodianus anthioides,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,普提鱼属
双斑光鳃鱼,漫步暗沙,9,Chromis margaritifer,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
双斑光鳃鱼,美济礁,2837,Chromis margaritifer,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
双斑光鳃鱼,南扉暗沙,79,Chromis margaritifer,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
双斑光鳃鱼,七连屿,1042,Chromis margaritifer,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
双斑光鳃鱼,永乐环礁,72,Chromis margaritifer,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
双斑光鳃鱼,永暑礁北沙洲,372,Chromis margaritifer,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
双斑尖唇鱼,漫步暗沙,1,Oxycheilinus bimaculatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,尖唇鱼属
双斑尖唇鱼,七连屿,1,Oxycheilinus bimaculatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,尖唇鱼属
双斑栉齿刺尾鱼,漫步暗沙,4,Ctenochaetus binotatus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,栉齿刺尾鱼属
双斑栉齿刺尾鱼,七连屿,1,Ctenochaetus binotatus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,栉齿刺尾鱼属
双斑栉齿刺尾鱼,永暑礁北沙洲,39,Ctenochaetus binotatus,辐鳍鱼纲,鲈形目,Perciformes,刺尾鱼科,Acanthuridae,栉齿刺尾鱼属
双带眶棘鲈,美济礁,2,Scolopsis bilineata,辐鳍鱼纲,鲈形目,Perciformes,金线鱼科,Nemipteridae,眶棘鲈属
双带眶棘鲈,永暑礁北沙洲,13,Scolopsis bilineata,辐鳍鱼纲,鲈形目,Perciformes,金线鱼科,Nemipteridae,眶棘鲈属
双带普提鱼,美济礁,1,Bodianus bilunulatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,普提鱼属
双棘刺尻鱼,漫步暗沙,1,Centropyge bispinosus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
双棘刺尻鱼,美济礁,3,Centropyge bispinosus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
双棘刺尻鱼,南扉暗沙,2,Centropyge bispinosus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
双棘刺尻鱼,永乐环礁,5,Centropyge bispinosus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
双棘刺尻鱼,永暑礁北沙洲,7,Centropyge bispinosus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,刺尻鱼属
双棘甲尻鱼,美济礁,12,Pygoplites diacanthus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,甲尻鱼属
双棘甲尻鱼,南扉暗沙,2,Pygoplites diacanthus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,甲尻鱼属
双棘甲尻鱼,七连屿,1,Pygoplites diacanthus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,甲尻鱼属
双棘甲尻鱼,永乐环礁,6,Pygoplites diacanthus,辐鳍鱼纲,鲈形目,Perciformes,刺盖鱼科,Pomacanthidae,甲尻鱼属
双眼斑海猪鱼,美济礁,1,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
双色裂唇鱼,美济礁,45,Labroides bicolor,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
双色裂唇鱼,南扉暗沙,1,Labroides bicolor,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
双色裂唇鱼,七连屿,11,Labroides bicolor,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
双色裂唇鱼,永乐环礁,3,Labroides bicolor,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
双色裂唇鱼,永暑礁北沙洲,6,Labroides bicolor,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,裂唇鱼属
双眼斑海猪鱼,漫步暗沙,7,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
双眼斑海猪鱼,美济礁,3,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
双眼斑海猪鱼,南扉暗沙,24,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
双眼斑海猪鱼,七连屿,13,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
双眼斑海猪鱼,永乐环礁,3,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
双眼斑海猪鱼,永暑礁北沙洲,18,Halichoeres biocellatus,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,海猪鱼属
丝蝴蝶鱼,美济礁,40,Chaetodon auriga,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
丝蝴蝶鱼,七连屿,12,Chaetodon auriga,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
丝蝴蝶鱼,永暑礁北沙洲,9,Chaetodon auriga,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,蝴蝶鱼属
丝条凡塘鳢,美济礁,5,Valenciennea strigata,辐鳍鱼纲,鲈形目,Perciformes,虾虎鱼科,Gobiidae,凡塘鳢属
丝条凡塘鳢,永暑礁北沙洲,41,Valenciennea strigata,辐鳍鱼纲,鲈形目,Perciformes,虾虎鱼科,Gobiidae,凡塘鳢属
斯氏似弱棘鱼,美济礁,1,Hoplolatilus starcki,辐鳍鱼纲,鲈形目,Perciformes,弱棘鱼科,Malacanthidae,凡塘鳢属
四斑拟鲈,美济礁,1,Parapercis clathrata,辐鳍鱼纲,鲈形目,Perciformes,拟鲈科,Pinguipedidae,拟鲈属
四斑拟鲈,永暑礁北沙洲,6,Parapercis clathrata,辐鳍鱼纲,鲈形目,Perciformes,拟鲈科,Pinguipedidae,拟鲈属
四线笛鲷,美济礁,7,Lutjanus kasmira,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
四带马夫鱼,美济礁,2,Heniochus singularius,辐鳍鱼纲,鲈形目,Perciformes,蝴蝶鱼科,Chaetodontidae,马夫鱼属
四线笛鲷,美济礁,145,Lutjanus kasmira,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
四线笛鲷,永暑礁北沙洲,483,Lutjanus kasmira,辐鳍鱼纲,鲈形目,Perciformes,笛鲷科,Lutjanidae,笛鲷属
特氏矶塘鳢,美济礁,1,Eviota teresae,辐鳍鱼纲,鲈形目,Perciformes,虾虎鱼科,Gobiidae,机塘鳢属
条斑副绯鲤,美济礁,16,Parupeneus barberinus,辐鳍鱼纲,鲈形目,Perciformes,羊鱼科,Mullidae,副绯鲤属
条斑副绯鲤,七连屿,4,Parupeneus barberinus,辐鳍鱼纲,鲈形目,Perciformes,羊鱼科,Mullidae,副绯鲤属
条斑副绯鲤,永暑礁北沙洲,1,Parupeneus barberinus,辐鳍鱼纲,鲈形目,Perciformes,羊鱼科,Mullidae,副绯鲤属
条尾光鳃鱼,美济礁,50,Chromis ternatensis,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,光鳃鱼属
莎姆新东洋鳂,美济礁,20,Neoniphon sammara,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,新东洋鳂属
凸颌锯鳞鱼,美济礁,3,Myripristis berndti,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,锯鳞鱼属
凸颌锯鳞鱼,七连屿,1,Myripristis berndti,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,锯鳞鱼属
凸颌锯鳞鱼,永暑礁北沙洲,1,Myripristis berndti,辐鳍鱼纲,金眼鲷目,Beryciformes,鳂科,Holocentridae,锯鳞鱼属
驼背鲈,美济礁,1,Chromileptes altivelis,辐鳍鱼纲,鲈形目,Perciformes,鮨科,Serranidae,驼背鲈属
驼峰大鹦嘴鱼,美济礁,18,Bolbometopon muricatum,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,大鹦嘴鱼属
王子雀鲷,漫步暗沙,6,Pomacentrus vaiuli,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
王子雀鲷,美济礁,5,Pomacentrus vaiuli,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
王子雀鲷,七连屿,140,Pomacentrus vaiuli,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
王子雀鲷,永乐环礁,104,Pomacentrus vaiuli,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
王子雀鲷,永暑礁北沙洲,41,Pomacentrus vaiuli,辐鳍鱼纲,鲈形目,Perciformes,雀鲷科,Pomacentridae,雀鲷属
网纹普提鱼,永暑礁北沙洲,1,Bodianus dictynna,辐鳍鱼纲,鲈形目,Perciformes,隆头鱼科,Labridae,普提鱼属
网纹鹦嘴鱼,美济礁,18,Scarus frenatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
网纹鹦嘴鱼,七连屿,6,Scarus frenatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
网纹鹦嘴鱼,永乐环礁,4,Scarus frenatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
网纹鹦嘴鱼,永暑礁北沙洲,10,Scarus frenatus,辐鳍鱼纲,鲈形目,Perciformes,鹦嘴鱼科,Scaridae,鹦嘴鱼属
